country,latitude,longitude,charging_points
2,45.516086,-122.615432,1
2,45.515465,-122.976029,1
2,45.5137544,-122.6880022,1
2,45.5051515,-122.4360589,1
2,45.5038354,-122.4460537,1
2,45.5017007,-122.4307199,1
2,45.4978583,-122.4365053,1
2,45.4971527,-122.4165398,1
2,45.46304,-89.69765,1
2,45.4553717,-91.1077908,1
2,45.4521594,-122.6256261,1
2,45.44908,-69.589857,1
2,45.449012,-69.589904,1
2,45.4449885,-122.6297998,1
2,45.4431844,-122.6344537,1
2,45.4415454,-122.6306561,1
2,45.4398928,-122.6274259,1
2,45.409639,-87.357059,1
2,45.40374205666381,-122.2888780035481,1
2,45.40309408820123,-122.2928191514047,1
2,45.40211023227733,-91.82860903184076,1
2,45.400911935457,-91.82989589929552,1
2,45.398713,-84.890854,1
2,45.376643,-122.589937,1
2,45.3677238,-87.9521491,1
2,45.367041,-122.808988,1
2,45.3590557,-122.5903974,1
2,45.3574017,-122.5978139,1
2,45.3548612,-122.605881,1
2,45.3538826,-122.6005903,1
2,45.3531491,-122.5946003,1
2,45.3529415,-122.5985812,1
2,45.3435077,-122.5952196,1
2,45.332703,-122.598985,1
2,45.3045597,-122.9805583,1
2,45.3010901,-122.983585,1
2,45.30089189650953,-122.7707504876645,1
2,45.2996457,-122.9631794,1
2,45.2993149,-122.9785871,1
2,45.2992516,-122.9775851,1
2,45.2988373,-122.9632346,1
2,45.2981344,-122.9763892,1
2,45.2974945,-122.9788861,1
2,45.2946143,-122.9702784,1
2,45.2945897,-122.9667843,1
2,45.2922209,-122.9659128,1
2,45.183603,-69.231958,1
2,45.152697,-122.841036,1
2,45.152045,-122.841347,1
2,45.1487162,-122.8511953,1
2,45.1475487,-122.8579759,1
2,45.1472829,-122.8553557,1
2,45.1456179,-122.8584636,1
2,45.1428301,-122.8535434,1
2,45.1428122,-122.8444015,1
2,45.1405633,-122.8451225,1
2,45.1394826,-122.8451092,1
2,45.139392,-122.8404267,1
2,45.1381483,-122.8578007,1
2,45.1371622,-122.8408151,1
2,45.1370941,-122.8425001,1
2,45.1360923,-122.8467052,1
2,45.092732,-93.011026,1
2,45.0925271,-93.4321543,1
2,45.09056072308853,-93.0061279110785,1
2,45.0803316,-123.4867965,1
2,45.07951000126255,-93.33420543222874,1
2,45.079457,-123.485109,1
2,45.0763275,-123.4861862,1
2,45.076109,-123.485011,1
2,45.073472,-123.617667,1
2,45.073325962367,-87.67880034306,1
2,45.070918,-87.683511,1
2,45.058001,-123.582033,1
2,45.019266,-93.246844,1
2,45.015926,-92.994488,1
2,45.014568,-92.999253,1
2,45.012829,-122.995735,1
2,45.0099949,-122.7888855,1
2,45.0085923,-122.7809275,1
2,45.007965,-122.7806258,1
2,45.006713,-73.45547,1
2,45.0062692,-122.7792963,1
2,45.0042069,-122.7787108,1
2,45.0037571,-122.779436,1
2,45.0037274,-122.7829652,1
2,45.0024184,-122.7910171,1
2,45.0021248,-122.783281,1
2,44.9978251,-122.7768375,1
2,44.997067,-93.058587,1
2,44.995631,-74.504685,1
2,44.991704,-74.30819,1
2,44.98867,-93.25712,1
2,44.980847,-74.739981,1
2,44.977356,-92.902584,1
2,44.9760258,-93.2724534,1
2,44.9721746,-93.4483865,1
2,44.963098,-70.639929,1
2,44.960802,-92.97372,1
2,44.9475438,-123.0303345,1
2,44.939921,-93.1699144,1
2,44.939559,-93.359223,1
2,44.939304,-93.357812,1
2,44.9381634,-93.0428359,1
2,44.93620459233,-96.04419524145,1
2,44.9361711,-123.0226795,1
2,44.929495,-122.962572,1
2,44.929448,-92.961895,1
2,44.92877,-84.68951,1
2,44.919984,-123.316046,1
2,44.91589609954084,-89.65223350340283,1
2,44.909703,-116.101069,1
2,44.901271,-68.667016,1
2,44.8992489,-85.4018218,2
2,44.88941,-97.08295,1
2,44.877842,-93.2225,1
2,44.864849,-93.333381,1
2,44.83755838588097,-68.74347650340704,1
2,44.82822265871728,-93.29029740340758,1
2,44.8127493,-73.0847913,1
2,44.800135,-122.815205,1
2,44.790294,-93.48449,1
2,44.788782,-93.123655,1
2,44.788621,-93.123654,1
2,44.78087,-93.03404,1
2,44.763738,-91.460289,1
2,44.763104,-91.459701,1
2,44.7404,-84.66423,1
2,44.739482,-85.549093,1
2,44.73708941573934,-85.64443821653136,1
2,44.7297731,-73.4344763,1
2,44.721666,-75.454524,1
2,44.69253,-73.10822,1
2,44.63373,-85.77364,1
2,44.630524,-85.77184,1
2,44.623826,-123.081892,1
2,44.592629,-75.162338,1
2,44.588767,-75.163671,1
2,44.58076,-73.527852,1
2,44.5519,-90.59136,1
2,44.546139,-73.152025,1
2,44.544383,-70.54661,1
2,44.54224,-68.42451,1
2,44.542189,-68.424653,1
2,44.535611,-122.936847,1
2,44.526708,-88.064791,1
2,44.51376,-84.75889,1
2,44.508079,-73.150478,1
2,44.4918296,-73.18221155,1
2,44.4858369,-73.213272,1
2,44.48346,-73.216166,1
2,44.4830835,-73.2208186,1
2,44.48144,-68.87104,1
2,44.47884,-88.05384,1
2,44.477285,-73.194791,1
2,44.474522,-88.06604,1
