model year,make,model,electric vehicle type,vehicle_count
2022,HYUNDAI,IONIQ,Plug-in Hybrid Electric Vehicle (PHEV),19
2022,HYUNDAI,IONIQ 5,Battery Electric Vehicle (BEV),505
2022,HYUNDAI,KONA,Battery Electric Vehicle (BEV),177
2022,HYUNDAI,SANTA FE,Plug-in Hybrid Electric Vehicle (PHEV),90
2022,HYUNDAI,TUCSON,Plug-in Hybrid Electric Vehicle (PHEV),65
2022,JAGUAR,I-PACE,Battery Electric Vehicle (BEV),20
2022,JEEP,GRAND CHEROKEE,Plug-in Hybrid Electric Vehicle (PHEV),292
2022,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),539
2022,KIA,EV6,Battery Electric Vehicle (BEV),1068
2022,KIA,NIRO,Battery Electric Vehicle (BEV),635
2022,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),157
2022,KIA,SORENTO,Plug-in Hybrid Electric Vehicle (PHEV),332
2022,LEXUS,NX,Plug-in Hybrid Electric Vehicle (PHEV),61
2022,LINCOLN,AVIATOR,Plug-in Hybrid Electric Vehicle (PHEV),49
2022,LINCOLN,CORSAIR,Plug-in Hybrid Electric Vehicle (PHEV),61
2022,LUCID,AIR,Battery Electric Vehicle (BEV),111
2022,MAZDA,MX-30,Battery Electric Vehicle (BEV),24
2022,MERCEDES-BENZ,EQB-CLASS,Battery Electric Vehicle (BEV),51
2022,MERCEDES-BENZ,EQS-CLASS SEDAN,Battery Electric Vehicle (BEV),126
2022,MINI,COUNTRYMAN,Plug-in Hybrid Electric Vehicle (PHEV),26
2022,MINI,HARDTOP,Battery Electric Vehicle (BEV),212
2022,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle (PHEV),85
2022,NISSAN,LEAF,Battery Electric Vehicle (BEV),1134
2022,POLESTAR,PS2,Battery Electric Vehicle (BEV),473
2022,PORSCHE,CAYENNE,Plug-in Hybrid Electric Vehicle (PHEV),34
2022,PORSCHE,PANAMERA,Plug-in Hybrid Electric Vehicle (PHEV),11
2022,PORSCHE,TAYCAN,Battery Electric Vehicle (BEV),215
2022,RIVIAN,EDV,Battery Electric Vehicle (BEV),216
2022,RIVIAN,R1S,Battery Electric Vehicle (BEV),169
2022,RIVIAN,R1T,Battery Electric Vehicle (BEV),915
2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),5072
2022,TESLA,MODEL S,Battery Electric Vehicle (BEV),726
2022,TESLA,MODEL X,Battery Electric Vehicle (BEV),892
2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),7412
2022,TOYOTA,PRIUS PRIME (PHEV),Plug-in Hybrid Electric Vehicle (PHEV),250
2022,TOYOTA,RAV4 PRIME (PHEV),Plug-in Hybrid Electric Vehicle (PHEV),451
2022,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),759
2022,VOLVO,C40,Battery Electric Vehicle (BEV),143
2022,VOLVO,S60,Plug-in Hybrid Electric Vehicle (PHEV),46
2022,VOLVO,V60,Plug-in Hybrid Electric Vehicle (PHEV),5
2022,VOLVO,XC40,Battery Electric Vehicle (BEV),303
2022,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),311
2022,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),450
2023,AUDI,E-TRON,Battery Electric Vehicle (BEV),145
2023,AUDI,E-TRON GT,Battery Electric Vehicle (BEV),52
2023,AUDI,Q4,Battery Electric Vehicle (BEV),388
2023,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV),162
2023,AUDI,RS E-TRON GT,Battery Electric Vehicle (BEV),17
2023,BENTLEY,BENTAYGA,Plug-in Hybrid Electric Vehicle (PHEV),1
2023,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),135
2023,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),68
2023,BMW,I4,Battery Electric Vehicle (BEV),674
2023,BMW,I7,Battery Electric Vehicle (BEV),22
2023,BMW,IX,Battery Electric Vehicle (BEV),326
2023,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),601
2023,BRIGHTDROP,ZEVO,Battery Electric Vehicle (BEV),33
2023,CADILLAC,LYRIQ,Battery Electric Vehicle (BEV),65
2023,CHEVROLET,BOLT EUV,Battery Electric Vehicle (BEV),2051
